PD,Year,VC
Oakland,1985,6703
Oakland,1986,6985
Oakland,1987,6485
Oakland,1988,6049
Oakland,1989,5555
Oakland,1990,5845
Oakland,1991,9484
Oakland,1992,10140
Oakland,1993,9809
Oakland,1994,8330
Oakland,1995,8249
Oakland,1996,8168
Oakland,1997,8229
Oakland,1998,7008
Oakland,1999,5754
Oakland,2000,5038
Oakland,2001,5330
Oakland,2002,5661
Oakland,2003,5613
Oakland,2004,5151
Oakland,2005,5692
Oakland,2006,7599
Oakland,2007,7605
Oakland,2008,7905
Oakland,2009,6793
Oakland,2010,6267
Oakland,2011,6652
Oakland,2012,7963
Oakland,2013,7984
Oakland,2014,6910
Riverside,1985,1870
Riverside,1986,2166
Riverside,1987,2190
Riverside,1988,2635
Riverside,1989,2946
Riverside,1990,3085
Riverside,1991,3640
Riverside,1992,3493
Riverside,1993,3975
Riverside,1994,3949
Riverside,1995,3809
Riverside,1996,3169
Riverside,1997,2501
Riverside,1998,2245
Riverside,1999,2064
Riverside,2000,2006
Riverside,2001,2159
Riverside,2002,2026
Riverside,2003,1916
Riverside,2004,1777
Riverside,2005,1954
Riverside,2006,2014
Riverside,2007,1893
Riverside,2008,1922
Riverside,2009,1535
Riverside,2010,1448
Riverside,2011,1310
Riverside,2012,1389
Riverside,2013,1330
Riverside,2014,1384
Sacramento,1985,3681
Sacramento,1986,4238
Sacramento,1987,3836
Sacramento,1988,3582
Sacramento,1989,3658
Sacramento,1990,3978
Sacramento,1991,4896
Sacramento,1992,4674
Sacramento,1993,4850
Sacramento,1994,4698
Sacramento,1995,4280
Sacramento,1996,3707
Sacramento,1997,3717
Sacramento,1998,3376
Sacramento,1999,3084
Sacramento,2000,3117
Sacramento,2001,3309
Sacramento,2002,3547
Sacramento,2003,3420
Sacramento,2004,4730
Sacramento,2005,5265
Sacramento,2006,5556
Sacramento,2007,5128
Sacramento,2008,4660
Sacramento,2009,4165
Sacramento,2010,4112
Sacramento,2011,3354
Sacramento,2012,3520
Sacramento,2013,3137
Sacramento,2014,2968
San Bernardino,1985,2248
San Bernardino,1986,2341
San Bernardino,1987,2425
San Bernardino,1988,2627
San Bernardino,1989,3400
San Bernardino,1990,4200
San Bernardino,1991,5000
San Bernardino,1992,5796
San Bernardino,1993,5566
San Bernardino,1994,4079
San Bernardino,1995,3928
San Bernardino,1996,3233
San Bernardino,1997,2884
San Bernardino,1998,2377
San Bernardino,1999,2020
San Bernardino,2000,2104
San Bernardino,2001,2397
San Bernardino,2002,2484
San Bernardino,2003,2864
San Bernardino,2004,2635
San Bernardino,2005,2510
San Bernardino,2006,2017
San Bernardino,2007,2150
San Bernardino,2008,2074
San Bernardino,2009,1908
San Bernardino,2010,1624
San Bernardino,2011,1861
San Bernardino,2012,2022
San Bernardino,2013,1949
San Bernardino,2014,2128
San Diego,1985,6250
San Diego,1986,8522
San Diego,1987,9112
San Diego,1988,9171
San Diego,1989,10124
San Diego,1990,12047
San Diego,1991,13830
San Diego,1992,14792
San Diego,1993,13463
San Diego,1994,12599
San Diego,1995,11077
San Diego,1996,10148
San Diego,1997,9789
San Diego,1998,8744
San Diego,1999,7411
San Diego,2000,7160
San Diego,2001,7405
San Diego,2002,7193
San Diego,2003,7366
San Diego,2004,6774
San Diego,2005,6603
San Diego,2006,6391
San Diego,2007,6332
San Diego,2008,6047
San Diego,2009,5931
San Diego,2010,5616
San Diego,2011,5104
San Diego,2012,5529
San Diego,2013,5303
San Diego,2014,5214
San Francisco,1985,9502
San Francisco,1986,9506
San Francisco,1987,9298
San Francisco,1988,9667
San Francisco,1989,10064
San Francisco,1990,12388
San Francisco,1991,12160
San Francisco,1992,13676
San Francisco,1993,13365
San Francisco,1994,10837
San Francisco,1995,10903
San Francisco,1996,9886
San Francisco,1997,8549
San Francisco,1998,7337
San Francisco,1999,6555
San Francisco,2000,6499
San Francisco,2001,6279
San Francisco,2002,6059
San Francisco,2003,5725
San Francisco,2004,5757
San Francisco,2005,5985
San Francisco,2006,6533
San Francisco,2007,6414
San Francisco,2008,6744
San Francisco,2009,5957
San Francisco,2010,5747
San Francisco,2011,5374
San Francisco,2012,5777
San Francisco,2013,7064
San Francisco,2014,6761
